Module,Lesson Name,Description,Language,Type,CWEs,Campaigns
Beyond OWASP Top 10: Other Web App Risks,Do You Remember?,"Memory management might seem like a problem from the distant past, but it can still cause issues if not implemented properly.",dotnet,Lesson,"cwe-404, cwe-399, cwe-772","Beginner (Introduction to the terminal and basic OWASP 10), All core labs (All topics)"
Beyond OWASP Top 10: Other Web App Risks,Know Your Limits,"Resource limits can be exceeded when either hard limitations, or software settings have been reached. CWE-404 describes Improper Resource Shutdown or Release weaknesses that should be avoided.",java,Lesson,"cwe-404, cwe-399, cwe-772, cwe-770","Beginner (Introduction to the terminal and basic OWASP 10), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
CWE-601 #22: Open Redirects,The Art of Redirection,URL redirects cause users to automatically visit untrusted sites.,node,Lesson,"cwe-601, cwe-1345, cwe-610, cwe-19","Advanced (OWASP 10 advanced labs and challenges), All core labs (All topics)"
CWE-601 #22: Open Redirects,No Going Back,"Work around a URL redirect safety check, then provide an allowlist.",node,Challenge,"cwe-601, cwe-610, cwe-1345, cwe-19","Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
Memory Management,Use After Free,"An HTML rendering engine parses input unsafely, keeping a deallocated pointer accessible.",cpp,Lesson,cwe-416,"Backend (Labs covering backend development topics), All core labs (All topics)"
Injection Flaws,SQL injection,Use SQL injection to give yourself superuser privileges.,python,Lesson,,
Injection Flaws,SQL injection,Use SQL injection to give yourself superuser privileges.,go,Lesson,,
Injection Flaws,SQL injection,Use SQL injection to give yourself superuser privileges.,node,Lesson,,
Injection Flaws,Parameterize queries,Defend against injection attacks by using safe database lookups.,python,Lesson,,
Injection Flaws,Parameterize queries,Defend against injection attacks by using safe database lookups.,go,Lesson,,
Injection Flaws,Parameterize queries,Defend against injection attacks by using safe database lookups.,node,Lesson,,
Injection Flaws,Bobby Tables SQLi,"Use SQLi to return sensitive data, then properly parameterize queries to avoid injection attacks.",python,Challenge,,
Injection Flaws,Bobby Tables SQLi,"Use SQLi to return sensitive data, then properly parameterize queries to avoid injection attacks.",go,Challenge,,
Injection Flaws,Bobby Tables SQLi,"Use SQLi to return sensitive data, then properly parameterize queries to avoid injection attacks.",node,Challenge,,
Insecure Cryptographic Storage,Storing password hashes,Encrypting data to store sensitive information securely.,python,Lesson,,
Insecure Cryptographic Storage,Storing password hashes,Encrypting data to store sensitive information securely.,node,Lesson,,
Insecure Cryptographic Storage,Terrible Password,SQLi and poor hashing lead to exposed passwords.,node,Challenge,,
Improper Error Handling,Debug mode in production,Verbose error messages lead to exposed sensitive data.,python,Lesson,,
Improper Error Handling,Debug mode in production,Verbose error messages lead to exposed sensitive data.,node,Lesson,,
Improper Error Handling,Stack Trace,Use revealing errors to gain admin permissions.,python,Challenge,,
Other High-Risk Vulnerabilities,Outdated third-party dependencies,Keep tabs on outdated packages with known security weaknesses.,python,Lesson,,
Other High-Risk Vulnerabilities,Outdated third-party dependencies,Keep tabs on outdated packages with known security weaknesses.,node,Lesson,,
Intermediate terminal usage,"Encrypting, encoding and hashing","Common encoding patterns, cryptographic techniques, and command line tools.",shell,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), All core labs (All topics)"
Intermediate terminal usage,Introduction to bash scripting,Automate tasks by writing and running basic scripts in bash.,shell,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), All core labs (All topics)"
Intermediate terminal usage,Nano for text editing,"Use Nano, a basic text editor, for creating and editing files.",shell,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), All core labs (All topics)"
Forensics,Creating a disk image,Learn how to acquire a disk image using the forensic tool dc3dd.,forensics,Lesson,,All core labs (All topics)
Forensics,Metadata with ExifTool,View and modify the metadata associated with multimedia files.,forensics,Lesson,,All core labs (All topics)
Forensics,Working with a disk image,"Hard disk image analysis with the sleuthkit (TSK), a standard forensic tool.",forensics,Lesson,,All core labs (All topics)
Forensics,Analyzing log files,Uncover evidence of an attack by analyzing a system's logs.,forensics,Lesson,,All core labs (All topics)
Integer Overflows,Short Scores,A program to add golf scores is susceptible to overflowing.,cpp,Lesson,cwe-190,"Backend (Labs covering backend development topics), All core labs (All topics)"
Integer Overflows,Unsigned Messages,A message parsing utility uses unsafe range checks.,cpp,Lesson,cwe-190,"Backend (Labs covering backend development topics), All core labs (All topics)"
Integer Overflows,Coercive Login,Use integer coercion to log in as an admin user.,cpp,Lesson,cwe-190,"Backend (Labs covering backend development topics), All core labs (All topics)"
Heap Overflows,Take Note!,A note-taking program copies strings to the heap unsafely.,cpp,Lesson,cwe-122,"Backend (Labs covering backend development topics), All core labs (All topics)"
Broken Authentication & Session Management,Secret key management,Modify JWTs by exploiting knowledge of an insecure secret key.,python,Lesson,,
Broken Authentication & Session Management,Secure session cookies,Tamper with an insecure cookie to hijack another user's account.,python,Lesson,,
Broken Authentication & Session Management,Secure session cookies,Tamper with an insecure cookie to hijack another user's account.,node,Lesson,,
Broken Authentication & Session Management,Cookie hijack,Decrypt cookies and hijack another user account.,node,Challenge,,
Bitwise Shifts,Shifty RSA,An RSA implementation allows for invalid bit shifts.,cpp,Lesson,,"Backend (Labs covering backend development topics), All core labs (All topics)"
Iterators and Sequence Containers,Go The Distance (but not too far),"A program to parse input from a file iterates unsafely, resulting in leaked data.",cpp,Lesson,,"Backend (Labs covering backend development topics), All core labs (All topics)"
Iterators and Sequence Containers,Pinball Wizard,"A program to display high scores trusts user input, leading to multiple vulnerabilities.",cpp,Lesson,,"Backend (Labs covering backend development topics), All core labs (All topics)"
Overreads,Passed Date,A date parsing and formatting utility allows for buffer over-reads.,cpp,Lesson,,"Backend (Labs covering backend development topics), All core labs (All topics)"
Overreads,Trivial Side Effects,A trivia program reveals sensitive data by poorly tracking player scores.,cpp,Lesson,,"Backend (Labs covering backend development topics), All core labs (All topics)"
Files,Race condition,An encryption program allows system files to be overwritten through a race condition.,cpp,Lesson,cwe-367,"Backend (Labs covering backend development topics), All core labs (All topics)"
Compilers,Optimal Memory,A program that checks user input against a password file leaves sensitive data in memory.,cpp,Lesson,,"Backend (Labs covering backend development topics), All core labs (All topics)"
User Data Privacy,PII Storage,De-identify and limit or do not collect sensitive user data,node,Lesson,,"Data privacy (Labs for properly handling sensitive user data), All core labs (All topics)"
User Data Privacy,Access and Erasure,"Let users see their stored data, delete their data, and have the 'right to be forgotten'",node,Lesson,,"Frontend (Labs most relevant to frontend development topics), Data privacy (Labs for properly handling sensitive user data), All core labs (All topics)"
User Data Privacy,Rectification,Let users supply corrections to their data,node,Lesson,,"Frontend (Labs most relevant to frontend development topics), Data privacy (Labs for properly handling sensitive user data), All core labs (All topics)"
User Data Privacy,Data Portability,Let users export their data in a machine-readable format,node,Lesson,,"Data privacy (Labs for properly handling sensitive user data), All core labs (All topics)"
User Data Privacy,Informed Consent,"Let users actively choose to give consent for clear, specific data collection, as well as opting out",node,Lesson,,"Frontend (Labs most relevant to frontend development topics), Data privacy (Labs for properly handling sensitive user data), All core labs (All topics)"
Best Practices,Forbidden Functions,A banned function header prevents the compilation of programs using unsafe functions.,cpp,Lesson,,"Backend (Labs covering backend development topics), All core labs (All topics)"
Best Practices,Time and Time Again,A side-channel timing attack reveals sensitive information.,cpp,Lesson,,"Backend (Labs covering backend development topics), All core labs (All topics)"
CWE-1021: Improper Restriction of Frames,You've been framed,A clickjacking attack tricks users into taking intended actions.,rails,Lesson,,"Frontend (Labs most relevant to frontend development topics), Backend (Labs covering backend development topics), All core labs (All topics)"
Threads,Lock down the threads,Poor use of mutex locks leads to exceptions.,cpp,Lesson,,"Backend (Labs covering backend development topics), All core labs (All topics)"
Common React Pitfalls,React string sanitization,Cause XSS through improper sanitization and poor variable handoff with React.,node,Lesson,,"Frontend (Labs most relevant to frontend development topics), All core labs (All topics)"
Common React Pitfalls,Sneaky links,Learn about a feature of HTML that can leave your React app open to XSS.,node,Lesson,,"Frontend (Labs most relevant to frontend development topics), All core labs (All topics)"
Common React Pitfalls,Dangerously set HTML links,React's dangerouslySetInnerHtml and markdown rendering craft a malicious href.,node,Lesson,,"Frontend (Labs most relevant to frontend development topics), All core labs (All topics)"
DjanGoat,Sensitive Data Exposure,,python,Challenge,,
DjanGoat,Cleartext Storage,,python,Challenge,,
DjanGoat,Missing Function Level Access Control,,python,Challenge,,
DjanGoat,DOM XSS,,python,Challenge,,
DjanGoat,Insecure Direct Object Reference,,python,Challenge,,
DjanGoat,SQL Injection Interpolation,,python,Challenge,,
DjanGoat,SQL Injection Concatenation,,python,Challenge,,
DjanGoat,Stored XSS,,python,Challenge,,
DjanGoat,Command Injection,,python,Challenge,,
DjanGoat,Credential Enumeration,,python,Challenge,,
Mobile Security,Custom URL Handling,"Explore custom URL schemes, used to allow other applications to request that your app take some action.",kotlin,Lesson,,Mobile (Labs covering mobile security topics)
Mobile Security,Custom URL Handling,"Explore custom URL schemes, used to allow other applications to request that your app take some action.",swift,Lesson,,Mobile (Labs covering mobile security topics)
Mobile Security,Secrets Storage,Explore how shared secrets can be vulnerable to attack.,kotlin,Lesson,,Mobile (Labs covering mobile security topics)
Mobile Security,Secrets Storage,Explore how shared secrets can be vulnerable to attack.,swift,Lesson,,Mobile (Labs covering mobile security topics)
Mobile Security,Forced Browsing & API Security,Explore how a forced browsing attack can occur when a malicious actor locates unlinked contents.,swift,Lesson,,Mobile (Labs covering mobile security topics)
Mobile Security,Mobile Logging,Explore the role of application logging. ,swift,Lesson,,Mobile (Labs covering mobile security topics)
OWASP API 1: Broken Object Level Authorization,One ID to Access All Objects,,dotnet,Lesson,,OWASP API Security Top 10
OWASP API 1: Broken Object Level Authorization,One ID to Access All Objects,,java,Lesson,,OWASP API Security Top 10
OWASP API 1: Broken Object Level Authorization,Stronger IDs,,dotnet,Lesson,,OWASP API Security Top 10
OWASP API 1: Broken Object Level Authorization,Stronger IDs,,java,Lesson,,OWASP API Security Top 10
Cross-Site Scripting (XSS),Content Security Policy,CSP to prevent XSS and other code injection.,python,Lesson,,
Cross-Site Scripting (XSS),Content Security Policy,CSP to prevent XSS and other code injection.,node,Lesson,,
Cross-Site Scripting (XSS),Persistent Cross-Site Scripting,"Stored XSS and directory traversal via ""image"" uploads.",python,Lesson,,
Cross-Site Scripting (XSS),Persistent Cross-Site Scripting,"Stored XSS and directory traversal via ""image"" uploads.",node,Lesson,,
Cross-Site Scripting (XSS),Reflected Cross-Site Scripting,Inject inline JavaScript into a Go template through JSON input.,go,Lesson,,
Cross-Site Scripting (XSS),Reflected Cross-Site Scripting,Inject inline JavaScript into a Go template through JSON input.,python,Lesson,,
Cross-Site Scripting (XSS),Reflected Cross-Site Scripting,Inject inline JavaScript into a Go template through JSON input.,node,Lesson,,
Stack Overflows,Triple Word Score,A Scrabble score calculator copies user input unsafely.,cpp,Lesson,"cwe-121, cwe-170","Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP API 2: Broken User Authentication,"Really, really bad passwords",,dotnet,Lesson,,OWASP API Security Top 10
OWASP API 2: Broken User Authentication,"Really, really bad passwords",,java,Lesson,,OWASP API Security Top 10
OWASP API 2: Broken User Authentication,Terrible Password,,dotnet,Challenge,,OWASP API Security Top 10
OWASP API 2: Broken User Authentication,Terrible Password,,java,Challenge,,OWASP API Security Top 10
CWE-319: Cleartext Transmission of Sensitive Data,See-through traffic,Sniff a user's credentials via insecure HTTP requests.,node,Lesson,,"PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
CWE-319: Cleartext Transmission of Sensitive Data,See-through traffic,Sniff a user's credentials via insecure HTTP requests.,go,Lesson,,"PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
Improper Access Control,Pickling and deserialization,Access restricted content via insecure serialized input.,python,Lesson,,
Improper Access Control,NoSQL with Mongo,View non-public posts by supplying a document query as user input.,node,Lesson,,
Improper Access Control,Open redirects,URL redirects cause users to automatically visit untrusted sites.,node,Lesson,,
Juice Shop,Error Handling,Provoke an error that is not very gracefully handled.,node,Challenge,,"Competition (Juice Shop challenges in JS), All core labs (All topics)"
Juice Shop,Login Bypass,Log in with other users' accounts via SQL injection.,node,Challenge,,"Competition (Juice Shop challenges in JS), All core labs (All topics)"
Juice Shop,Credentials Dump,Retrieve a list of all user credentials via SQL injection.,node,Challenge,,"Competition (Juice Shop challenges in JS), All core labs (All topics)"
Juice Shop,XSS Levels,Reflected and persistent XSS attacks of increasing difficulty.,node,Challenge,,"Competition (Juice Shop challenges in JS), All core labs (All topics)"
Juice Shop,File Uploads,Improper input validation in user file uploads.,node,Challenge,,"Competition (Juice Shop challenges in JS), All core labs (All topics)"
Juice Shop,Hidden Pages,Find carefully hidden pages.,node,Challenge,,"Competition (Juice Shop challenges in JS), All core labs (All topics)"
Juice Shop,Confidential Documents,Access unprotected confidential documents.,node,Challenge,,"Competition (Juice Shop challenges in JS), All core labs (All topics)"
Juice Shop,Open Redirects,Redirect from the Juice Shop to external untrusted sites.,node,Challenge,,"Competition (Juice Shop challenges in JS), All core labs (All topics)"
Juice Shop,Account Hijack,Access and modify another user's shopping cart.,node,Challenge,,"Competition (Juice Shop challenges in JS), All core labs (All topics)"
OWASP API 3: Excessive Data Exposure,Bugs in Debug,,dotnet,Lesson,,OWASP API Security Top 10
OWASP API 3: Excessive Data Exposure,Bugs in Debug,,java,Lesson,,OWASP API Security Top 10
OWASP API 3: Excessive Data Exposure,Revealing Schemas,,dotnet,Lesson,,OWASP API Security Top 10
OWASP API 3: Excessive Data Exposure,Revealing Schemas,,java,Lesson,,OWASP API Security Top 10
OWASP API 4: Lack of Resources & Rate Limiting,Slow Down,,dotnet,Lesson,,OWASP API Security Top 10
OWASP API 4: Lack of Resources & Rate Limiting,Slow Down,,java,Lesson,,OWASP API Security Top 10
OWASP API 4: Lack of Resources & Rate Limiting,Brute Force,,dotnet,Challenge,,OWASP API Security Top 10
OWASP API 4: Lack of Resources & Rate Limiting,Brute Force,,java,Challenge,,OWASP API Security Top 10
OWASP API 4: Lack of Resources & Rate Limiting,Denial of Service,,dotnet,Lesson,cwe-770,OWASP API Security Top 10
OWASP API 4: Lack of Resources & Rate Limiting,Denial of Service,,java,Lesson,cwe-770,OWASP API Security Top 10
Security Labs – Getting Started,Lesson Zero,,dotnet,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), All core labs (All topics)"
Security Labs – Getting Started,Lesson Zero,,java,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), All core labs (All topics)"
Security Labs – Getting Started,Lesson Zero,,node,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), All core labs (All topics)"
Security Labs – Getting Started,Lesson Zero,,go,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), All core labs (All topics)"
Security Labs – Getting Started,Lesson Zero,,python,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), All core labs (All topics)"
Security Labs – Getting Started,Lesson Zero,,flask,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), All core labs (All topics)"
CWE-352 #12: Cross-Site Request Forgery,Forging user requests,"Cause a user to take unexpected, pre-authenticated actions.",python,Lesson,cwe-352,"PCI (Required labs covering all PCI compliance topics), Frontend (Labs most relevant to frontend development topics), All core labs (All topics)"
CWE-352 #12: Cross-Site Request Forgery,Forging user requests,"Cause a user to take unexpected, pre-authenticated actions.",rails,Lesson,cwe-352,"PCI (Required labs covering all PCI compliance topics), Frontend (Labs most relevant to frontend development topics), All core labs (All topics)"
CWE-352 #12: Cross-Site Request Forgery,Forging user requests,"Cause a user to take unexpected, pre-authenticated actions.",go,Lesson,cwe-352,"PCI (Required labs covering all PCI compliance topics), Frontend (Labs most relevant to frontend development topics), All core labs (All topics)"
OWASP 8: Software and Data Integrity Failures,Sleeping With the Enemy,Investigate the integrity of a useful third-party library.,dotnet,Lesson,"cwe-1354, cwe-1214, cwe-829, cwe-830","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), All core labs (All topics)"
OWASP 8: Software and Data Integrity Failures,Sleeping With the Enemy,Investigate the integrity of a useful third-party library.,node,Lesson,"cwe-1354, cwe-1214, cwe-829, cwe-830","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), All core labs (All topics)"
OWASP 8: Software and Data Integrity Failures,In a Pickle,Data serialization leads to dangerous user-provided payloads.,dotnet,Lesson,"cwe-1354, cwe-913, cwe-502, cwe-399, cwe-medium","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
